,experiment,area,average_pixel_intensity,gray_level_average Ga,Optical_Parameter R,mean_gray_level
0,1,215.5,193.5487804878049,1.3035891334523095,6.309575603006614,249.7479674796748
1,2,285.0,207.94288681204569,1.781582088683148,5.459985728868432,249.57943925233644
2,3,406.0,206.86797957695114,4.409721856460889,6.355653633874048,247.6323851203501
3,4,430.0,213.5024561403509,2.2125473684210517,6.57187049356262,249.56
4,5,590.0,217.79283489096574,3.975582535107379,6.570979229327624,248.70872274143304
5,6,665.5,214.2021033379058,3.9710409998475846,7.20267276618763,248.08230452674897
6,7,595.5,220.97670807453417,2.690588711855249,6.915888965390298,249.84782608695653
7,8,351.5,208.20103092783506,0.9477627803167165,6.955631661845604,251.2680412371134
8,9,1021.5,229.89506172839506,4.110001714677637,7.733028081091701,250.4601851851852
9,10,513.5,218.4364937388193,4.032757191637252,6.295285316931353,248.54203935599284
10,11,693.5,224.0004492362983,4.7437536780465095,6.648862382983445,248.8746630727763
11,12,883.5,224.31813361611876,5.98830923622068,6.667559548247944,248.05514316012724
12,13,821.5,226.42247191011236,2.429662921348317,7.816995343658079,252.6
13,14,844.0,225.1248148148148,6.481451851851855,5.812140294227765,248.41333333333333
14,15,526.0,220.9907727797001,3.057985416841277,6.554594495063731,251.42560553633217
15,16,356.0,217.9813874788494,3.8817542322657146,5.459511992765507,250.2233502538071
16,17,318.0,208.48907103825135,2.447191615157217,5.401351382134171,252.02459016393442
17,18,351.5,218.05584192439864,4.0010362418960534,5.278568277648857,250.12113402061857
18,19,627.0,221.56994047619048,2.1504570578231323,3.4987342368593866,252.11607142857142
19,20,450.5,218.2251169004676,3.9270846301822138,5.874594288108769,250.84969939879758
20,21,215.5,211.2249322493225,2.162799920682134,5.168064987544373,252.21951219512195
21,22,663.0,224.96244784422808,3.045444433912813,7.357302615361743,251.77190542420027
22,23,431.5,219.3570432357043,2.2009943803504846,6.561366272300173,252.34518828451883
23,24,421.0,217.81299072091363,2.680456144051281,6.4738376969838765,251.5610278372591
24,25,1790.5,235.4079441760601,2.5399886883857747,4.268234062484662,252.47128287707997
